Data and time, pollution PM10 [ug/m3]
2022-09-21,12.2,
2022-09-22,-,
2022-09-23,15.7,
2022-09-24,26.8,
2022-09-25,35.2,
2022-09-26,35.9,
2022-09-27,29.1,
2022-09-28,14.7,
2022-09-29,32.2,
2022-09-30,36.6,
2022-10-01,22.7,
2022-10-02,17.2,
2022-10-03,8.5,
2022-10-04,14.5,
2022-10-05,22.2,
2022-10-06,32.8,
2022-10-07,25.9,
2022-10-08,31.2,
2022-10-09,18.7,
2022-10-10,21.0,
2022-10-11,27.6,
2022-10-12,39.4,
2022-10-13,33.3,
2022-10-14,-,
2022-10-15,-,
2022-10-16,-,
2022-10-17,-,
2022-10-18,28.1,
2022-10-19,10.4,
2022-10-20,17.3,
2022-10-21,27.6,
2022-10-22,32.2,
2022-10-23,27.3,
2022-10-24,39.8,
2022-10-25,29.2,
2022-10-26,27.8,
2022-10-27,-,
2022-10-28,-,
2022-10-29,27.0,
2022-10-30,19.6,
2022-10-31,25.4,
2022-11-01,26.9,
2022-11-02,33.9,
2022-11-03,31.7,
2022-11-04,20.8,
2022-11-05,30.3,
2022-11-06,33.3,
2022-11-07,28.1,
2022-11-08,29.0,
2022-11-09,36.0,
2022-11-10,32.0,
2022-11-11,27.4,
2022-11-12,26.6,
2022-11-13,26.7,
2022-11-14,23.3,
2022-11-15,25.0,
2022-11-16,8.8,
2022-11-17,16.4,
2022-11-18,21.1,
2022-11-19,38.2,
2022-11-20,36.5,
2022-11-21,39.3,
2022-11-22,27.7,
2022-11-23,23.1,
2022-11-24,23.3,
2022-11-25,38.3,
2022-11-26,52.6,
2022-11-27,39.1,
2022-11-28,43.3,
2022-11-29,19.1,
2022-11-30,17.0,
2022-12-01,22.7,
2022-12-02,27.5,
2022-12-03,28.5,
2022-12-04,18.4,
2022-12-05,18.1,
2022-12-06,26.5,
2022-12-07,17.7,
2022-12-08,23.7,
2022-12-09,57.6,
2022-12-10,26.0,
2022-12-11,18.6,
2022-12-12,19.6,
2022-12-13,20.6,
2022-12-14,-,
2022-12-15,-,
2022-12-16,-,
2022-12-17,29.6,
2022-12-18,27.3,
2022-12-19,33.2,
